algorithm,scenario,seed,total_cost,total_emission,service_level,total_reward,total_time,total_delivered,runtime
GeneticAlgorithm,S3_LARGE,1024,64440.71379999988,88405.39133987686,0.000737481833999502,-1047.7834416143098,1471.0201490253733,1742.7980590025225,3.9768521785736084
MAPPO,S3_LARGE,1025,24466.32700000001,36987.11888982927,0.0006070928118674514,-1068.1515568156171,575.0346778595512,1393.4683187860455,2.7155699729919434
NearestNeighbor,S3_LARGE,1025,217916.87620000067,348583.03917014226,0.00042930522573042534,-1133.479656220784,6700.058276944333,661.8475031406575,5.89494514465332
ClarkeWright,S3_LARGE,1025,196900.5137999999,313948.1016221496,0.0008818524792855681,-1114.6636106146123,5392.42725867345,1941.4529962616136,4.108356475830078
GeneticAlgorithm,S3_LARGE,1025,85403.48320000006,156930.44713943527,0.0007325375984246205,-1090.2271531059039,2661.54856001049,1675.487869028585,3.971749782562256
MAPPO,S3_LARGE,1026,14392.300000000001,18687.921586071454,0.00043506842322139314,-1092.9159949913155,321.1850187663337,786.1317484941142,2.5670888423919678
NearestNeighbor,S3_LARGE,1026,217916.87620000067,348583.03917014226,0.0003903192203399501,-1156.0587122814047,6702.777296885622,661.8475031406575,5.650933027267456
ClarkeWright,S3_LARGE,1026,196900.5137999999,313948.1016221496,0.0008017698167648323,-1139.4836111844504,6022.219812753233,1941.4529962616136,4.095428466796875
GeneticAlgorithm,S3_LARGE,1026,70957.02769999993,101102.67276939457,0.0007731834425466708,-1101.3931369276115,2264.0926861976154,2086.8897260079675,3.745128870010376
MAPPO,S3_LARGE,1027,72960.48080000008,116555.08263524005,0.000766337748655229,-1125.8536720587526,2194.5361600365104,1919.8312676452551,2.670037269592285
NearestNeighbor,S3_LARGE,1027,217916.87620000067,348583.03917014226,0.0003962062783299018,-1173.0856104611516,6164.608574120041,661.8475031406575,5.756501197814941
ClarkeWright,S3_LARGE,1027,196900.5137999999,313948.1016221496,0.0008138626504269655,-1156.29511780879,5424.185214274019,1941.4529962616136,4.092453479766846
GeneticAlgorithm,S3_LARGE,1027,80437.96350000004,143244.3987333732,0.000709876215143026,-1126.8629519856122,2696.8760998605644,1788.4695272025874,3.8577346801757812
MAPPO,S3_LARGE,1028,4502.170999999999,4813.389781097962,0.00012569759890881417,-1083.3551714052442,89.54227132867132,303.80899332034153,2.5793538093566895
NearestNeighbor,S3_LARGE,1028,217916.87620000067,348583.03917014226,0.0004028495777439741,-1142.9215959300973,7190.708565850557,661.8475031406575,5.613400220870972
ClarkeWright,S3_LARGE,1028,196900.5137999999,313948.1016221496,0.0008275089088677451,-1123.2260295824653,5637.8935188075275,1941.4529962616136,4.2651073932647705
GeneticAlgorithm,S3_LARGE,1028,84349.97439999992,137188.06110273147,0.0006955241889403195,-1097.8898810322123,2615.5475886299373,1625.3303818716658,3.8553478717803955
MAPPO,S3_LARGE,1029,8350.775500000002,9997.521145546254,0.0004047479196039962,-1091.3691152782428,171.46614648038084,907.1317484941142,2.6373391151428223
NearestNeighbor,S3_LARGE,1029,217916.87620000067,348583.03917014226,0.00041606889954437856,-1154.759034059327,6333.950334832654,661.8475031406575,5.61522912979126
ClarkeWright,S3_LARGE,1029,196900.5137999999,313948.1016221496,0.0008546632293894547,-1137.6439908487516,5502.729785347558,1941.4529962616136,4.323588609695435
GeneticAlgorithm,S3_LARGE,1029,125013.34990000019,194122.43616939618,0.001078582188701867,-1117.6895141377258,3651.833174391325,2697.7133047857606,10.74001169204712
