algorithm,scenario,seed,total_cost,total_emission,service_level,total_reward,total_time,total_delivered,runtime
ClarkeWright,S4_SEVERE,1010,67695.95049999999,94142.08135676951,8.161376837878233e-05,-953.3317373248041,6154.045509003594,492.0999991653953,1.0486531257629395
GeneticAlgorithm,S4_SEVERE,1010,10960.527099999998,15077.188541471645,6.081021803043282e-05,-858.6138123192993,765.9074104678714,466.9087171830813,1.081106185913086
MAPPO,S4_SEVERE,1011,9614.181800000004,12537.70474533709,0.00016971152409730973,-810.0605768837777,708.620400401136,1330.4522634922319,0.7803211212158203
NearestNeighbor,S4_SEVERE,1011,56855.95119999999,77207.92732913574,0.00024175004316795854,-881.2493934235156,5296.768189368364,1783.0487640841936,0.9165868759155273
ClarkeWright,S4_SEVERE,1011,64954.518899999974,91210.7735449981,9.42230900390783e-05,-928.0025545218886,5987.971513039879,580.8631467000533,0.8649687767028809
GeneticAlgorithm,S4_SEVERE,1011,11733.136500000015,18624.150845023163,5.5242087502895125e-05,-842.0346790532977,910.1658615826856,387.1631472017567,1.0676987171173096
MAPPO,S4_SEVERE,1012,10164.353900000006,13182.822302174398,0.00012579896715134094,-819.494026898454,867.2102360067267,937.1340826143052,0.7846179008483887
NearestNeighbor,S4_SEVERE,1012,57940.88299999999,79548.16858179544,0.0002178973574486702,-876.6831319861823,5186.288278654286,1645.7487621457187,0.9398818016052246
ClarkeWright,S4_SEVERE,1012,68051.78629999998,94533.06264701491,6.848346049252375e-05,-923.4067416748974,5355.745380284044,391.4999989310279,1.418863296508789
GeneticAlgorithm,S4_SEVERE,1012,15251.0161,18139.202054500387,4.947067837711838e-05,-841.7008727599163,972.1280840616122,369.59999910369515,2.3238649368286133
MAPPO,S4_SEVERE,1013,29193.824900000003,39772.403761476475,0.0001828337778433428,-797.6821329371917,2179.2149472029096,1349.438950378981,1.273364782333374
NearestNeighbor,S4_SEVERE,1013,54546.6651,73994.09974597693,0.00024277321501108703,-835.2514236158156,4901.104516714238,1851.950307678479,1.3555116653442383
