algorithm,lambda,seed,total_cost,total_emission,service_level,total_reward
MAPPO_zeroshot,0.15,2005,7028.6929,7968.539989158348,0.008525501402238213,-403.4109971883712
NearestNeighbor,0.15,2005,24593.761799999993,32409.817555384612,0.006128346625250087,-434.0993780077524
GeneticAlgorithm,0.15,2005,13352.317799999983,13870.101009999971,0.001043120523594315,-434.316262691148
MAPPO_zeroshot,0.15,2006,5069.261399999999,5475.511698887117,0.009598405896994195,-373.85571890456237
NearestNeighbor,0.15,2006,24593.761799999993,32409.817555384612,0.006535547686746587,-412.279258507633
GeneticAlgorithm,0.15,2006,31877.788399999965,35801.73994798459,0.002966335401806113,-427.31893040421846
MAPPO_zeroshot,0.15,2007,6423.805399999998,6993.955127741073,0.010565402145277177,-361.6803778338759
NearestNeighbor,0.15,2007,24593.761799999993,32409.817555384612,0.006534730212143982,-397.5802155104924
GeneticAlgorithm,0.15,2007,19308.460800000008,27930.729075687188,0.003584522411442146,-397.194750988317
MAPPO_zeroshot,0.15,2008,7444.8508999999995,8375.860849158347,0.010676910253018644,-376.1086544356037
NearestNeighbor,0.15,2008,24593.761799999993,32409.817555384612,0.006518467981861617,-411.77545280970395
GeneticAlgorithm,0.15,2008,18564.574999999997,26717.24029037092,0.002437564131249569,-414.69519582426045
MAPPO_zeroshot,0.15,2009,7290.987900000001,8622.52243071005,0.0075531980790802585,-392.1270522208514
NearestNeighbor,0.15,2009,24593.761799999993,32409.817555384612,0.006287686881606335,-426.80424259949535
GeneticAlgorithm,0.15,2009,27456.972700000006,38707.57452934699,0.00366268423142538,-429.53538843036296
MAPPO_zeroshot,0.15,2010,7861.0089,8800.183870304392,0.01186014995473921,-384.1257696480047
NearestNeighbor,0.15,2010,24593.761799999993,32409.817555384612,0.0063811122820070666,-423.7405741281886
GeneticAlgorithm,0.15,2010,16267.031500000017,18334.539054032848,0.0036045708333268334,-412.64467895574404
MAPPO_zeroshot,0.15,2011,7861.0089,8800.183870304392,0.011738849235841163,-373.66471470154823
NearestNeighbor,0.15,2011,24593.761799999993,32409.817555384612,0.006315848899154289,-411.89631788053674
GeneticAlgorithm,0.15,2011,11659.9817,13764.820417992842,0.0012507288273379544,-412.0379005355039
MAPPO_zeroshot,0.15,2012,7770.5459,8662.190720304392,0.012203735407595543,-371.93939805639326
NearestNeighbor,0.15,2012,24593.761799999993,32409.817555384612,0.006565971441586954,-410.04963703804015
GeneticAlgorithm,0.15,2012,25980.67870000001,35127.965513003706,0.002252619968823201,-422.97911451030274
MAPPO_zeroshot,0.15,2013,6763.885899999999,7266.700333282858,0.010436404122790562,-401.81610113980224
NearestNeighbor,0.15,2013,24593.761799999993,32409.817555384612,0.0061937452746967546,-439.9079518381076
GeneticAlgorithm,0.15,2013,14164.226199999966,16924.182997971442,0.003424628754282324,-431.3896711866735
MAPPO_zeroshot,0.15,2014,10967.384900000001,13184.189927283438,0.010606811382647097,-365.18209518747847
NearestNeighbor,0.15,2014,24593.761799999993,32409.817555384612,0.006475671214701811,-395.93006898058104
GeneticAlgorithm,0.15,2014,19637.88580000003,25165.865386145728,0.0036695242225326936,-394.5407977502843
MAPPO_zeroshot,0.2,2000,10354.4429,12791.141718753532,0.009365056269658714,-387.77463687296466
NearestNeighbor,0.2,2000,24593.761799999993,32409.817555384612,0.00669764013292448,-414.6741037806378
GeneticAlgorithm,0.2,2000,12258.8412,14467.532465750466,0.003736486582501959,-401.84372032735484
MAPPO_zeroshot,0.2,2001,6451.6289,7240.579043984984,0.009932841161210876,-376.65231795778146
NearestNeighbor,0.2,2001,24593.761799999993,32409.817555384612,0.006391740681072479,-418.2338254703169
GeneticAlgorithm,0.2,2001,13893.502600000022,25767.34714855722,0.0023067384222662064,-417.7537546065393
MAPPO_zeroshot,0.2,2002,6769.911899999999,8171.578316314871,0.006955500507600673,-406.2714739489301
NearestNeighbor,0.2,2002,24593.761799999993,32409.817555384612,0.0060275256110335846,-436.4632322222729
GeneticAlgorithm,0.2,2002,17823.056300000015,23092.27907423919,0.001973962744331017,-439.5708072367189
MAPPO_zeroshot,0.2,2003,5999.843900000001,6438.152998887117,0.010682377178616833,-386.60625090339715
NearestNeighbor,0.2,2003,24593.761799999993,32409.817555384612,0.006227210774910404,-432.35634425145435
GeneticAlgorithm,0.2,2003,37455.85110000002,50708.26920373576,0.003831148461414602,-449.63204917855893
MAPPO_zeroshot,0.2,2004,14203.152300000003,18055.667364428416,0.008618258535884533,-412.9541066454079
NearestNeighbor,0.2,2004,24593.761799999993,32409.817555384612,0.0061635501807517385,-434.7644069026229
GeneticAlgorithm,0.2,2004,19748.725900000023,29778.066486622025,0.0035809587949612643,-431.3725665525615
MAPPO_zeroshot,0.2,2005,7028.6929,7968.539989158348,0.008525501402238213,-404.3191860586338
NearestNeighbor,0.2,2005,24593.761799999993,32409.817555384612,0.006128346625250087,-437.277166316594
GeneticAlgorithm,0.2,2005,13352.317799999983,13870.101009999971,0.001043120523594315,-435.89186078079894
MAPPO_zeroshot,0.2,2006,5069.261399999999,5475.511698887117,0.009598405896994195,-374.0757497346966
NearestNeighbor,0.2,2006,24593.761799999993,32409.817555384612,0.006535547686746587,-418.37682905888613
GeneticAlgorithm,0.2,2006,31877.788399999965,35801.73994798459,0.002966335401806113,-432.077606027201
MAPPO_zeroshot,0.2,2007,6309.614399999999,6876.353227741072,0.010565402145277177,-362.2314765923163
NearestNeighbor,0.2,2007,24593.761799999993,32409.817555384612,0.006534730212143982,-402.3444579448092
GeneticAlgorithm,0.2,2007,19308.460800000008,27930.729075687188,0.003584522411442146,-400.1448899095432
