param,value,seed,total_cost,total_emission,service_level,total_reward,total_generated
horizon,200,1011,8175.6374000000005,9373.39897728344,0.010741722444174035,-377.37213158627304,119805.73128821873
horizon,200,1012,7435.814900000001,8362.372520718378,0.011378036888454846,-376.3274057941245,121331.65166183627
horizon,200,1013,7086.0464,7884.9315509402595,0.011095093601384881,-369.59147705031353,124425.80999707055
horizon,200,1014,6930.4264,7529.9202203043915,0.012139678060614823,-367.5787888394563,120292.37217596815
horizon,200,1015,7608.753900000001,9276.568875603216,0.008717644447873015,-387.8941246225771,122303.22791153128
horizon,200,1016,6347.2279,6958.534366031765,0.00918859863752154,-374.09527903877256,120027.17020829834
horizon,200,1017,7499.1803,8175.068849990064,0.0116886546466731,-368.2513957595903,120202.94506852416
horizon,200,1018,7764.396100000001,8892.88116322101,0.010391803035521218,-383.6016444608996,121047.83861616734
horizon,200,1019,8791.591400000001,10070.447520304393,0.011688235150223783,-386.55174784098506,124938.50890196636
horizon,200,1020,7864.2719,8690.541049990064,0.0115858906188044,-380.5905078709439,121269.11591402545
horizon,200,1021,7444.8508999999995,8375.860849158347,0.010561035772514714,-373.64590604078165,121855.46384271893
horizon,200,1022,13240.6111,16647.387392259283,0.009242885362073551,-384.2210308770806,124842.08761995954
horizon,200,1023,7804.965300000001,9219.731085238094,0.009934161137338606,-370.0758585116658,120784.83920036702
horizon,200,1024,6314.4724,7318.990455866165,0.008070769245862818,-365.32686064345455,121489.08183483289
horizon,200,1025,6050.9103000000005,6490.744758824493,0.011356662573855059,-372.9175105180807,118679.32988765532
horizon,200,1026,11889.517999999998,14172.026959990066,0.011049610264433204,-378.6389001972014,127154.7754893724
horizon,200,1027,11902.0436,14322.215836750347,0.010644690781118606,-376.3984698379003,124852.84351920431
horizon,200,1028,5583.6858999999995,6013.829977741073,0.009588566952724408,-381.84184951737956,122480.27793630234
horizon,200,1029,7611.7659,9484.978958849086,0.0074986486996349725,-394.72812288268346,125865.99871751
horizon,300,1000,9823.703399999999,11365.204079990064,0.010934909993562688,-654.3765000363243,128488.54844224307
horizon,300,1001,7444.8508999999995,8375.860849158347,0.010554586243750917,-615.6031887759882,121929.92534228064
horizon,300,1002,9715.5677,11712.636123984983,0.009579570584545035,-634.9202682294803,127455.84812350958
horizon,300,1003,6930.4264,7529.9202203043915,0.011450747632809422,-664.2519974899154,127529.72279116063
horizon,300,1004,4656.366399999999,4993.980648008852,0.007800890682886609,-638.5962830114053,125393.52649597185
horizon,300,1005,8060.9304,9813.391330475082,0.007166216384640307,-655.9116250217587,124585.31101967614
horizon,300,1006,7577.0144,8400.292920304391,0.011612785790286944,-668.8582198538627,125750.24612831535
horizon,300,1007,6199.6399,6418.285209990065,0.011912263868247463,-622.056443427304,117946.57404829176
horizon,300,1008,6003.106899999999,6519.556433282857,0.009152435480630007,-655.9914543659148,128062.21852289188
horizon,300,1009,5999.843900000001,6438.152998887117,0.010661333484350319,-643.515821288944,126419.56149329476
horizon,300,1010,3815.8123000000005,3934.806129206789,0.008040840436235708,-651.581152094235,127850.42963515465
horizon,300,1011,8175.6374000000005,9373.39897728344,0.01021578753437815,-656.1060605279121,125973.63721481107
horizon,300,1012,7435.814900000001,8362.372520718378,0.010829008473129589,-655.5872081288458,127483.14047134384
horizon,300,1013,7086.0464,7884.9315509402595,0.010591407976535395,-645.4278487376259,130343.01118453093
horizon,300,1014,6930.4264,7529.9202203043915,0.011554712511849877,-644.2724506231575,126382.2591748952
horizon,300,1015,7608.753900000001,9276.568875603216,0.00830608002522702,-668.987541448243,128363.325723024
horizon,300,1016,6347.2279,6958.534366031765,0.008742624430072047,-651.6805061994154,126149.933748482
horizon,300,1017,7499.1803,8175.068849990064,0.011133996919918497,-644.158069640171,126191.04554496527
horizon,300,1018,7764.396100000001,8892.88116322101,0.009891844969843088,-666.2509421646153,127165.89277427609
horizon,300,1019,8791.591400000001,10070.447520304393,0.011141152409222754,-671.8863201245829,131073.57459320765
horizon,300,1020,7864.2719,8690.541049990064,0.011026621144405802,-663.920236364981,127419.87722429179
