algorithm,scenario,seed,total_cost,total_emission,service_level,total_reward,total_time,total_delivered,runtime
NearestNeighbor,S2_MEDIUM,1019,24593.761799999993,32409.817555384612,0.006288617020586911,-419.64030904533837,535.6561560746536,563.5199107786458,0.6941492557525635
ClarkeWright,S2_MEDIUM,1019,72352.55450000001,96206.96662501266,0.0046405068070554485,-464.0643022155657,1524.9786639463562,375.7875663471745,0.5477440357208252
GeneticAlgorithm,S2_MEDIUM,1019,18641.70919999997,20376.834623387935,0.00195541674699519,-424.872849036131,398.0691059708707,178.21641781068487,0.7272970676422119
MAPPO,S2_MEDIUM,1020,7864.2719,8690.541049990064,0.0115858906188044,-380.5905078709439,157.38998480496656,1181.9202775336414,0.5467720031738281
NearestNeighbor,S2_MEDIUM,1020,24593.761799999993,32409.817555384612,0.006478899657884737,-413.1261720068534,517.6365014723169,563.5199107786458,0.5333406925201416
ClarkeWright,S2_MEDIUM,1020,72352.55450000001,96206.96662501266,0.004780920489547344,-458.60875914520506,1580.945865120125,375.7875663471745,0.5484375953674316
GeneticAlgorithm,S2_MEDIUM,1020,22906.657999999996,27008.64655805086,0.0035580208383015326,-411.8809220372048,507.6442147030356,341.6875668710435,0.7248225212097168
MAPPO,S2_MEDIUM,1021,7444.8508999999995,8375.860849158347,0.010561035772514714,-373.64590604078165,169.394406510465,1063.829477834007,0.5501179695129395
NearestNeighbor,S2_MEDIUM,1021,24593.761799999993,32409.817555384612,0.006447724286056022,-404.3756630431786,599.3243082199317,563.5199107786458,0.5327987670898438
ClarkeWright,S2_MEDIUM,1021,72352.55450000001,96206.96662501266,0.004757915506939664,-450.22583639899534,1689.1277313195817,375.7875663471745,0.547015905380249
GeneticAlgorithm,S2_MEDIUM,1021,4268.521900000015,3285.3614490487435,0.0024109749776357265,-392.3290771986007,84.09447876974419,264.5999996194616,0.7549004554748535
MAPPO,S2_MEDIUM,1022,13240.6111,16647.387392259283,0.009242885362073551,-384.2210308770806,287.8010094233238,930.8106694234956,0.5572173595428467
NearestNeighbor,S2_MEDIUM,1022,24593.761799999993,32409.817555384612,0.0062934740085355935,-404.2967552097073,559.2505926333541,563.5199107786458,0.5370664596557617
ClarkeWright,S2_MEDIUM,1022,72352.55450000001,96206.96662501266,0.004644090883739133,-449.1014625629374,1575.8698982620206,375.7875663471745,0.5500867366790771
GeneticAlgorithm,S2_MEDIUM,1022,15525.722300000009,18489.528294977215,0.002431915398613146,-401.5584682662651,342.7162648985874,238.77114906035857,0.7364964485168457
MAPPO,S2_MEDIUM,1023,7804.965300000001,9219.731085238094,0.009934161137338606,-370.0758585116658,145.95179070173188,995.9056215905498,0.5635325908660889
NearestNeighbor,S2_MEDIUM,1023,24593.761799999993,32409.817555384612,0.0065048762643447125,-404.1793881725651,605.8129480535658,563.5199107786458,0.5435383319854736
ClarkeWright,S2_MEDIUM,1023,72352.55450000001,96206.96662501266,0.004800089190503936,-446.89169937681925,1478.3113276009274,375.7875663471745,0.5530579090118408
GeneticAlgorithm,S2_MEDIUM,1023,4578.066100000012,4634.456113182095,0.002843581906270686,-389.80837722422586,95.48487992418175,295.17114841681473,0.7321357727050781
MAPPO,S2_MEDIUM,1024,6314.4724,7318.990455866165,0.008070769245862818,-365.32686064345455,120.83989671578482,951.3199104953842,0.5716431140899658
NearestNeighbor,S2_MEDIUM,1024,24593.761799999993,32409.817555384612,0.00646716908006149,-393.1239129777098,552.1356570180831,563.5199107786458,0.5618247985839844
ClarkeWright,S2_MEDIUM,1024,72352.55450000001,96206.96662501266,0.004772264241907679,-437.5749151040203,1543.2707844411975,375.7875663471745,0.5701298713684082
GeneticAlgorithm,S2_MEDIUM,1024,13492.030099999998,16726.39580761637,0.0037363177505349804,-383.4221145276171,297.6086890172914,401.48756673842314,0.7923228740692139
MAPPO,S2_MEDIUM,1025,6050.9103000000005,6490.744758824493,0.011356662573855059,-372.9175105180807,124.18015896549586,1237.220236478857,0.5530900955200195
NearestNeighbor,S2_MEDIUM,1025,24593.761799999993,32409.817555384612,0.006620280333153678,-408.34272989376836,549.7753095553613,563.5199107786458,0.5594539642333984
ClarkeWright,S2_MEDIUM,1025,72352.55450000001,96206.96662501266,0.004885248354293973,-451.82657582567913,1475.898318188323,375.7875663471745,0.5753440856933594
GeneticAlgorithm,S2_MEDIUM,1025,14585.482400000017,25692.006698118654,0.002879245206244504,-409.11642601441713,406.4793772774024,263.81641721929503,0.7860527038574219
MAPPO,S2_MEDIUM,1026,11889.517999999998,14172.026959990066,0.011049610264433204,-378.6389001972014,246.191824935207,1181.9202775336414,0.5880551338195801
NearestNeighbor,S2_MEDIUM,1026,24593.761799999993,32409.817555384612,0.006179008461016001,-408.56355126374194,610.3293938446733,563.5199107786458,0.5907084941864014
ClarkeWright,S2_MEDIUM,1026,72352.55450000001,96206.96662501266,0.004559624275150972,-451.88609999812826,1524.1890982753096,375.7875663471745,0.6022515296936035
GeneticAlgorithm,S2_MEDIUM,1026,14319.921400000048,15568.59074531751,0.001616409962157997,-409.3206866722197,262.34210739594056,166.99999973573722,0.7974958419799805
MAPPO,S2_MEDIUM,1027,11902.0436,14322.215836750347,0.010644690781118606,-376.3984698379003,256.49055183205064,1105.9294775203377,0.5971605777740479
NearestNeighbor,S2_MEDIUM,1027,24593.761799999993,32409.817555384612,0.006292931834476959,-404.16121060288606,527.460356410466,563.5199107786458,0.6060278415679932
ClarkeWright,S2_MEDIUM,1027,72352.55450000001,96206.96662501266,0.004643690801748298,-449.3270317987252,1569.493103965082,375.7875663471745,0.6609756946563721
GeneticAlgorithm,S2_MEDIUM,1027,13618.579000000016,16336.13676484291,0.001959599611546618,-401.4286252573239,271.37411784411864,171.37114877574643,1.0040929317474365
MAPPO,S2_MEDIUM,1028,5583.6858999999995,6013.829977741073,0.009588566952724408,-381.84184951737956,112.58941226540192,1063.829477834007,0.7490406036376953
NearestNeighbor,S2_MEDIUM,1028,24593.761799999993,32409.817555384612,0.006414832223157927,-413.5724529341313,554.5387508993525,563.5199107786458,0.7610983848571777
ClarkeWright,S2_MEDIUM,1028,72352.55450000001,96206.96662501266,0.00473364374078193,-457.7588473540466,1529.1381323972664,375.7875663471745,0.7948038578033447
GeneticAlgorithm,S2_MEDIUM,1028,17086.07650000002,18169.92703297009,0.0022942909639163864,-411.57603757177526,331.16126269408977,225.17114881705058,1.0949275493621826
MAPPO,S2_MEDIUM,1029,7611.7659,9484.978958849086,0.0074986486996349725,-394.72812288268346,151.46039258846454,720.734472725862,0.839996337890625
NearestNeighbor,S2_MEDIUM,1029,24593.761799999993,32409.817555384612,0.006242277037588345,-420.4826286660507,568.437770346454,563.5199107786458,1.0454139709472656
ClarkeWright,S2_MEDIUM,1029,72352.55450000001,96206.96662501266,0.004606311529168142,-465.725083382336,1616.964828627118,375.7875663471745,1.1509153842926025
GeneticAlgorithm,S2_MEDIUM,1029,16225.450700000005,16792.008424295633,0.003393464616168823,-411.15837710751,312.36985871808764,372.5875668710435,1.6734280586242676
